Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
5.2302,-0.57205,0.85808,-0.33811,0.77794,-0.46212,-19.86,24.0,-9.84
5.993,-0.55843,0.6674,-0.36133,0.81184,-0.23152,-19.92,23.22,-10.56
7.1234,-0.92618,1.3212,-0.36469,1.0461,0.015577,-19.98,22.8,-10.92
11.032,-0.58567,0.85808,-0.49327,0.92943,0.19914,-19.86,22.2,-12.12
11.441,0.21793,0.99429,-0.64935,0.3262,0.2364,-19.74,21.9,-12.6
11.101,1.076,1.2122,-0.71807,-0.12584,0.19853,-19.68,21.84,-13.02
9.7385,2.4653,1.4165,-0.61911,-0.3769,0.13347,-19.74,21.48,-13.56
9.4661,2.5742,1.185,-0.14783,-0.31062,0.040012,-19.68,21.24,-13.74
9.8611,1.7298,1.362,0.62339,0.24984,-0.041539,-19.68,21.24,-13.98
10.583,0.54481,1.3212,1.4774,0.48136,0.015882,-19.8,21.12,-14.28
10.76,0.29965,1.362,1.4639,0.55405,0.080023,-19.8,21.0,-14.64
13.062,-1.7706,1.6481,1.3109,0.85552,0.22174,-19.62,21.12,-15.18
15.214,-2.6423,1.7434,1.2376,1.2132,0.31826,-19.44,21.0,-15.48
15.173,-1.2531,4.0316,0.75106,0.72235,0.51526,-19.56,21.0,-16.26
13.457,-0.25879,2.8739,-0.23152,-0.25229,0.29199,-19.68,21.0,-16.44
12.898,-0.35413,2.547,-0.62217,0.78741,0.17226,-19.62,21.06,-16.62
14.002,-1.6889,4.522,-0.26145,1.2743,0.18815,-19.56,21.06,-17.22
13.757,-2.3563,5.7069,1.2165,0.15974,0.45998,-19.44,21.0,-17.7
12.272,-3.1191,5.1213,1.5369,-0.8995,0.51465,-19.14,20.82,-18.24
10.161,-2.438,3.0918,1.5879,-2.3094,0.44349,-18.78,20.58,-18.72
9.8611,-1.7298,2.1793,0.98899,-2.405,0.18906,-18.6,20.52,-18.78
10.706,-1.866,-0.19068,0.38729,-2.1728,0.081856,-18.36,20.34,-18.96
11.577,-1.9341,-0.19068,0.10354,-1.6909,0.22449,-18.36,20.28,-18.66
12.326,-1.7025,1.5391,0.21319,-0.87995,0.25748,-18.24,20.28,-18.42
12.395,-1.7298,3.4732,0.46701,-1.3372,0.32162,-18.3,20.28,-18.06
8.6081,-1.9613,3.3915,0.94043,-2.7055,0.405,-18.18,20.46,-17.1
6.8647,-1.8251,2.2882,1.6637,-3.251,0.55925,-18.12,20.52,-16.5
3.8682,-2.1112,-0.54481,1.7043,-3.1838,0.67348,-18.12,20.34,-15.72
2.7922,-2.4653,-1.3484,1.4487,-2.6182,0.78069,-18.18,20.22,-14.1
2.3836,-2.6287,-1.3893,0.74923,-1.6991,0.69272,-18.18,20.22,-12.96
2.7377,-2.3291,-1.1577,-0.2303,-0.81948,0.52962,-18.42,20.34,-11.88
4.6718,-1.58,-0.5993,-0.51282,-0.92271,0.32803,-18.6,20.7,-9.9
