Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
0.84446,-4.2904,-6.3607,-2.2947,1.3433,0.25992,-7.92,35.1,34.08
2.4789,-2.6696,-5.2711,-2.3518,1.1878,0.075747,-8.16,33.9,34.92
2.4789,-2.6696,-5.2711,-2.2266,0.9728,-0.007025,-8.46,32.64,35.64
1.9613,1.8251,-8.7443,-1.4481,-0.074526,-0.36346,-8.76,31.32,36.54
-2.1929,-0.85808,-9.7385,-0.58857,-0.16646,-0.23121,-9.24,28.8,38.1
-0.91256,-1.9341,-7.8862,-0.12798,0.20342,0.10996,-9.36,27.6,38.76
0.65378,-3.2144,-5.1213,0.28314,0.28863,0.27306,-9.6,26.58,39.42
1.3757,-0.40861,-5.0668,0.54336,0.13592,0.21594,-9.96,24.54,40.56
0.99429,-0.40861,-4.0452,0.68875,-0.17929,0.16096,-10.08,23.76,40.98
1.5391,0.89894,-6.279,0.91874,-0.39462,0.061392,-10.38,22.86,41.28
0.21793,1.3757,-6.5105,1.2058,-0.70585,-0.11362,-10.74,21.66,42.06
-0.54481,1.5527,-7.7364,1.8341,-0.90225,-0.19334,-10.92,21.24,42.3
-0.83084,0.70826,-8.4582,2.0925,-0.80726,-0.1408,-10.92,21.0,42.36
0.24517,-4.9033,-7.069,2.3094,-0.58215,0.089797,-10.8,20.88,42.24
0.054481,-6.1292,-7.9543,2.0669,-0.71593,0.11668,-10.56,21.3,42.12
-0.21793,-4.2904,-8.6081,2.0143,-0.60415,0.1405,-10.26,21.96,41.94
-0.84446,-2.9965,-9.112,2.0039,-1.208,-0.16432,-9.6,23.34,41.28
-2.3972,-2.9284,-6.4697,2.2345,-1.1344,-0.12675,-9.24,24.18,40.98
-4.018,-5.598,-8.2403,2.9013,-0.90958,-0.041539,-8.7,25.2,40.32
-0.61292,-3.6775,-4.985,3.1435,-0.91294,-0.71288,-7.86,27.42,39.06
-0.31327,-8.5944,-5.6661,3.0641,-0.89858,-0.61209,-7.32,28.44,38.34
0.12258,-11.087,-7.246,2.3729,-0.60964,-0.74342,-6.9,29.82,37.68
-1.5527,-10.392,-6.96,1.9151,-0.34117,-0.67714,-6.06,32.22,35.58
-1.7025,-9.4253,-7.3141,1.671,-0.081245,-0.64599,-5.58,33.66,34.44
-0.70826,-8.1722,-7.927,1.5342,-0.20495,-0.83536,-4.98,36.06,32.22
-1.7706,-9.7658,-9.1665,1.4847,-0.088575,-0.85643,-4.74,37.08,31.2
-1.7025,-13.089,-6.851,1.0956,-0.24648,-1.0828,-4.62,38.16,30.06
-0.50395,-12.027,-4.2768,1.0302,-0.23793,-0.65699,-4.62,39.06,28.74
0.99429,-8.4446,-4.1814,0.92607,0.18387,-0.48075,-4.56,40.8,26.28
-1.1305,-9.6977,-5.1213,0.81153,0.16738,-0.40378,-4.92,41.58,25.2
-2.4108,-9.9429,-7.5048,0.56291,0.43585,-0.24068,-5.16,42.6,23.22
-1.362,-8.7987,-8.7987,0.31582,0.49358,0.022602,-5.46,43.2,22.26
-1.0215,-8.4719,-9.5751,-0.16738,-0.041844,0.24465,-5.64,43.86,21.18
-1.6753,-8.8805,-7.2869,-0.17379,-0.24282,0.34667,-5.76,44.22,20.28
0.027241,-8.8668,-5.1485,-0.39065,0.039095,0.33139,-6.12,44.76,19.2
0.12258,-9.0303,-4.7263,-0.56352,0.20464,0.25992,-6.3,44.88,18.66
0.19068,-8.8668,-4.6854,-0.79901,0.43799,0.28436,-6.48,45.06,18.3
-1.4438,-8.9349,-4.9578,-1.0226,1.0889,0.41356,-6.6,45.3,18.12
1.6072,-8.2539,-6.0474,-1.1316,1.0006,0.28191,-6.84,45.54,17.76
-0.24517,-9.3844,-7.7364,-1.0366,0.39431,0.37263,-6.78,45.6,17.82
-0.29965,-9.5342,-7.7091,-1.4093,-0.0027489,0.58032,-6.84,45.48,18.12
-0.53119,-8.9622,-7.0826,-1.3967,0.043371,0.63713,-6.72,45.3,18.3
-0.9398,-8.0224,-6.9464,-1.2981,0.71441,0.79565,-6.72,45.06,18.54
-1.3212,-9.4661,-6.7557,-1.2095,0.67104,0.88331,-6.6,44.76,19.44
-0.54481,-9.8884,-8.3493,-1.6328,-0.067806,0.97433,-6.42,44.4,20.1
-0.61292,-9.1393,-7.6002,-1.8992,0.49083,1.014,-6.36,43.86,20.76
-0.35413,-6.0611,-7.7227,-2.2388,0.99418,0.75289,-6.06,43.08,22.14
-1.0215,-5.5435,-9.3436,-2.2462,0.73548,0.63072,-5.88,42.54,23.04
2.152,-7.8317,-8.7851,-1.8152,0.33292,0.59315,-5.7,42.0,23.88
-2.3427,-4.6037,-9.2891,-1.9881,0.32895,0.65943,-5.16,40.5,25.8
