Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
-0.28603,-7.3141,-0.70826,1.4258,0.22663,0.43524,-1.14,27.18,23.16
1.185,-9.4117,0.61292,1.3952,-0.13683,0.50824,1.98,27.84,21.6
1.4165,-9.398,0.69464,1.4612,0.051924,0.46273,2.34,28.2,20.64
1.7434,-9.4661,0.99429,1.668,-0.13225,0.46395,3.12,29.1,18.72
1.5391,-9.2755,0.92618,1.6142,-0.70463,0.44074,3.36,29.58,17.76
1.3757,-8.8124,0.19068,1.5595,-0.72326,0.50488,3.66,30.06,16.62
1.2939,-8.2539,-1.4438,1.4529,0.81062,0.62003,4.26,30.9,14.4
0.95342,-8.9349,-0.92618,1.2413,0.8094,0.63683,4.56,31.32,13.44
0.8717,-11.659,-0.39499,0.80726,0.22144,0.58613,5.16,31.8,11.58
0.69464,-12.231,-1.1305,0.60048,0.5006,0.57116,5.58,32.16,10.8
1.185,-11.959,-1.1169,0.25473,0.72449,0.5003,6.0,32.58,10.02
2.833,-10.215,0.85808,-0.12187,0.45326,0.16432,6.54,32.94,8.64
3.3778,-10.501,0.76274,-0.25931,0.55986,0.069944,6.84,33.06,8.04
6.6331,-14.996,-0.50395,-0.39126,0.90836,-0.038485,7.14,33.3,7.2
6.7829,-15.445,-0.61292,-0.82833,0.53237,-0.36469,7.32,33.48,6.84
4.5356,-13.852,-2.9284,-0.99357,0.37721,-0.39218,7.44,33.54,6.48
1.3484,-8.9213,-1.185,-2.2926,0.31215,-0.55589,7.44,33.72,6.54
0.64016,-7.7091,0.054481,-2.8986,0.19151,-0.83353,7.32,33.72,6.66
0.68102,-10.406,0.62654,-2.6386,0.41325,-1.4786,6.9,33.54,7.62
0.35413,-13.443,0.027241,-2.3909,-0.048869,-2.0556,6.42,33.54,8.22
-0.21793,-16.195,-1.1169,-2.3842,-0.56383,-1.7596,5.88,33.42,9.0
-0.81722,-16.644,-0.85808,-2.4816,-0.23946,-0.8717,4.68,33.0,10.8
-0.96704,-14.261,-0.9398,-2.3763,0.49602,-0.037568,4.08,33.0,11.82
-0.19068,-11.55,-1.866,-2.036,0.89614,-0.2532,2.64,32.46,13.86
0.27241,-10.515,-1.2667,-1.7706,0.58185,-0.90469,1.92,32.1,15.0
0.65378,-7.5729,2.0294,-1.493,-0.34606,-0.6744,0.48,31.26,17.46
1.2258,-7.5593,1.1169,-0.94592,-1.0941,-1.1219,-0.24,30.66,18.72
0.8036,-7.9951,1.1169,-0.79962,-1.0687,-1.1964,-0.84,30.18,19.86
0.68102,-7.8998,-0.7355,-0.3766,-0.66493,-1.5311,-2.46,29.22,21.9
0.25879,-7.3958,-0.81722,-0.2868,-1.3326,-1.5711,-3.24,28.62,22.74
-0.77636,-6.0474,-0.69464,-0.014661,-2.5522,-1.387,-3.72,28.32,23.58
-3.1872,-4.1542,1.1169,0.038485,-2.3387,-1.0223,-4.38,27.6,24.72
-3.3642,-3.8818,1.2803,0.10232,-1.9239,-0.61606,-4.38,27.3,25.2
-2.5334,-3.7184,0.35413,0.37782,-1.4169,-0.29016,-4.62,26.7,26.04
-2.1384,-3.9635,-0.43585,0.77977,-1.3216,-0.060781,-4.44,26.46,26.46
-0.28603,-4.7399,-5.884,1.627,-1.2627,0.24282,-4.14,26.34,26.88
1.1169,-6.5378,-9.3163,1.7065,-0.80359,0.45418,-3.84,26.4,26.82
5.0395,-11.605,-15.023,0.6466,0.88514,0.082467,-3.66,26.52,26.76
9.9701,-19.246,-11.577,-0.5226,0.76297,-0.21961,-2.94,27.06,26.52
6.96,-16.508,-8.3357,-0.84849,-0.96272,-0.70647,-2.46,27.24,26.34
3.4459,-9.1937,-6.6331,-0.5116,-1.0037,-0.88698,-2.04,27.42,26.16
-0.6674,-4.5356,-5.8023,-0.42699,-0.27275,-0.35247,-1.68,27.6,25.98
-5.2166,-12.599,3.1599,0.23274,1.3522,0.53512,-0.96,27.72,25.62
-6.7012,-15.023,0.91256,0.25015,2.4874,0.77366,-0.78,27.84,25.56
0.34051,-13.171,-4.8216,-1.3473,1.3567,0.050091,-0.6,27.96,25.32
