Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
0.6674,-9.902,-0.76274,-0.32773,-0.98197,0.12798,1.08,39.36,15.3
0.054481,-10.692,-0.47671,-0.39187,-0.78649,0.10049,1.02,39.6,15.36
-0.24517,-11.114,-0.44947,-0.3711,-0.43371,0.076664,0.9,39.72,15.3
-0.081722,-11.877,-0.83084,-0.14661,0.16554,0.2587,1.2,39.72,15.42
-0.068102,-12.544,-1.1713,-0.027794,0.38698,0.32834,1.56,39.66,15.42
-0.01362,-12.599,-1.3757,0.032987,0.6692,0.40745,1.74,39.66,15.42
0.50395,-12.258,-2.6423,0.20464,0.9951,0.57024,2.1,39.66,15.84
0.92618,-11.863,-3.3642,0.40775,1.1072,0.72143,2.34,39.6,16.02
1.1032,-10.161,-4.3313,0.5058,0.96242,0.79687,2.58,39.66,16.08
0.50395,-8.7987,-4.2495,0.51252,0.72479,0.75106,2.58,39.78,16.08
0.50395,-8.2131,-3.9635,0.34331,0.63988,0.60506,2.76,39.84,15.9
-0.81722,-7.4367,-2.7786,0.051618,0.62369,0.41875,2.94,39.9,15.72
-0.81722,-7.3822,-2.2065,-0.17685,0.68845,0.31734,3.24,39.84,15.42
-0.55843,-7.4503,-2.0294,-0.24435,0.9053,0.40012,3.42,39.84,15.42
-0.27241,-7.641,-1.9341,-0.22633,0.97647,0.4612,3.48,39.9,15.42
0.32689,-8.1858,-1.866,-0.22541,1.2489,0.62003,3.48,39.96,15.3
0.85808,-8.2812,-1.8115,-0.2755,1.4392,0.71929,3.66,40.08,15.24
1.5527,-8.1995,-1.5936,-0.34361,1.6228,0.81856,3.78,39.96,15.3
1.8932,-8.0088,-1.4029,-0.37843,1.7287,0.90133,3.66,39.96,15.24
2.2882,-7.8862,-1.1986,-0.40409,1.7636,0.95845,3.72,39.96,15.24
2.6423,-7.4503,-0.99429,-0.42241,1.631,0.96669,3.6,39.72,15.54
2.8194,-7.355,-0.89894,-0.40714,1.3103,0.89675,3.66,39.6,15.72
2.8058,-7.355,-0.76274,-0.34728,1.0073,0.79046,3.54,39.36,15.96
2.7104,-7.5729,-0.85808,-0.29627,0.69639,0.66523,3.42,39.06,16.38
2.5742,-7.8998,-1.1169,-0.28466,0.4383,0.56383,3.24,39.06,16.74
2.547,-8.2948,-1.3484,-0.25656,0.26817,0.50396,3.42,39.0,16.92
1.9477,-8.9486,-1.757,-0.14172,0.12706,0.42119,3.48,38.82,17.58
1.5391,-9.3027,-2.0567,-0.01741,0.062919,0.31398,3.42,38.76,17.94
1.2395,-9.5751,-2.5061,0.076969,0.12584,0.21472,3.54,38.46,18.48
1.0488,-9.7249,-2.7922,0.24465,0.12981,0.14661,3.66,38.4,18.72
0.92618,-9.8748,-2.8739,0.29322,0.12828,0.10599,3.84,38.46,19.02
1.0215,-12.04,-2.4517,0.33384,0.11332,0.011606,3.9,38.4,19.38
0.64016,-13.184,-2.4789,0.29413,0.024435,-0.15516,4.14,38.46,19.56
0.40861,-13.348,-2.6287,0.32437,-0.075136,-0.20495,4.14,38.4,19.62
0.47671,-12.939,-2.5606,0.43738,-0.28924,-0.219,4.26,38.52,19.62
0.7355,-11.809,-2.4517,0.53145,-0.54428,-0.22724,4.44,38.7,19.68
0.8036,-10.583,-2.3427,0.53848,-0.81428,-0.19639,4.68,38.76,19.68
0.43585,-9.5751,-1.7706,0.32315,-1.2117,-0.28558,4.8,39.0,19.26
0.43585,-9.1937,-1.4301,0.16188,-1.4649,-0.46395,4.86,39.12,19.08
-0.35413,-9.0167,-1.185,0.094073,-1.5519,-0.56077,5.04,39.24,18.84
-0.49033,-9.1937,-0.57205,-0.072082,-1.5589,-0.80115,5.16,39.66,18.42
-0.32689,-9.4798,-0.17706,-0.11148,-1.4847,-0.84788,5.16,39.84,18.18
-0.14982,-9.616,-0.20431,-0.14569,-1.2633,-0.92424,5.04,39.96,18.0
0.49033,-9.5206,-0.19068,-0.10049,-1.1503,-0.93615,5.28,40.38,17.58
0.84446,-9.3844,-0.14982,-0.047342,-1.0928,-0.90469,5.1,40.5,17.34
1.0215,-8.5808,-0.35413,-0.016493,-1.1139,-0.81948,5.16,40.92,17.04
1.0624,-8.1177,-0.35413,-0.027184,-1.1496,-0.73701,5.16,41.04,16.98
1.0079,-7.6274,-0.34051,-0.049786,-1.1289,-0.686,4.92,41.22,16.38
1.0624,-7.2596,-0.43585,-0.056505,-1.1121,-0.64721,4.86,41.34,16.26
0.99429,-6.9872,-0.38137,-0.11973,-1.1029,-0.55131,4.62,41.46,16.2
0.89894,-6.7557,-0.39499,-0.17318,-1.1029,-0.49999,4.44,41.46,16.08
0.77636,-6.8919,-0.36775,-0.20372,-1.1078,-0.45998,4.26,41.46,15.72
0.62654,-7.1234,-0.40861,-0.23671,-1.1188,-0.44868,4.26,41.4,15.54
