Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
2.2337,-6.1292,-1.5255,-0.10904,0.23335,0.33506,-18.24,40.92,-38.76
2.9965,-6.5786,-1.2258,-0.34453,0.32834,0.39462,-17.58,40.38,-38.88
2.7922,-6.7693,-1.185,-0.52015,0.43616,0.41722,-17.04,40.08,-39.0
2.942,-7.1915,-0.89894,-0.67256,0.64904,0.39126,-16.74,39.66,-39.3
2.9556,-7.9951,-1.1169,-0.90713,0.93859,0.37446,-15.48,38.52,-39.72
3.1872,-8.2948,-1.2531,-0.97005,1.0595,0.35064,-14.46,37.92,-40.08
3.3097,-8.2131,-1.471,-1.0531,1.2547,0.32315,-13.38,37.26,-40.5
3.5822,-8.1722,-1.7298,-0.97555,1.3173,0.31185,-12.3,36.66,-41.04
4.0589,-9.3572,-1.5527,-0.87323,1.1512,0.33628,-9.66,35.46,-42.12
4.5083,-11.087,-1.6072,-0.78282,0.86621,0.41325,-8.04,34.74,-42.6
4.9033,-13.062,-1.8387,-0.70433,0.54459,0.48655,-5.22,33.3,-43.32
4.9987,-13.961,-2.0022,-0.52718,0.22999,0.58124,-3.84,32.64,-43.44
5.0531,-15.282,-2.2746,-0.41539,0.17868,0.59987,-2.34,31.92,-43.56
5.2302,-17.638,-2.5334,0.042761,0.022602,0.65637,-1.08,31.2,-43.38
5.8976,-16.481,-3.514,0.37477,-0.22022,0.50305,1.2,29.88,-42.9
5.2983,-13.539,-3.8818,0.7758,-0.67256,0.24404,2.22,29.34,-42.18
3.732,-9.4661,-3.6911,1.0357,-1.4945,-0.36682,3.6,28.44,-41.04
2.7649,-7.3822,-3.1054,0.94776,-1.7428,-0.69944,3.72,28.2,-40.26
2.2337,-6.6331,-2.6696,0.84513,-1.7483,-0.7984,3.78,27.96,-39.6
1.3348,-5.3937,-2.3018,0.53909,-1.507,-0.83261,3.3,27.48,-37.38
1.5663,-5.38,-2.6015,0.45418,-1.4364,-0.66157,2.76,27.3,-36.36
1.6208,-5.5026,-2.9011,0.3769,-1.5388,-0.46334,1.98,27.24,-35.16
1.4574,-5.7069,-2.8875,0.34789,-1.3607,-0.16249,-0.06,27.3,-32.58
1.7025,-5.7614,-2.7649,0.34117,-1.2504,-0.083689,-1.14,27.36,-31.38
1.757,-5.5707,-2.4925,0.2361,-0.99571,-0.047037,-2.28,27.42,-30.06
1.7162,-5.1485,-2.2474,0.10201,-0.98319,-0.1912,-3.3,27.66,-28.68
1.6344,-4.8352,-2.0294,-0.014661,-1.0275,-0.42028,-4.2,27.72,-27.24
1.3212,-4.6445,-1.7298,-0.084299,-1.0672,-0.64874,-6.12,27.6,-24.42
1.3757,-5.3392,-1.8387,-0.12889,-1.1405,-0.78221,-6.9,27.54,-22.8
1.6208,-6.5241,-1.866,-0.23427,-1.3543,-0.75014,-7.86,27.24,-19.8
1.5255,-7.2324,-1.7706,-0.31673,-1.4465,-0.61514,-8.1,26.94,-18.06
1.3212,-7.9951,-1.4165,-0.36255,-1.3894,-0.53573,-8.22,26.7,-16.62
1.362,-8.8941,-1.1032,-0.52321,-0.80817,-0.32376,-8.28,26.46,-15.18
2.0158,-10.529,-0.29965,-0.63041,-0.31734,-0.27367,-7.86,25.62,-12.3
2.547,-12.19,-0.081722,-0.66676,0.10324,-0.23732,-7.26,25.2,-10.92
3.1191,-13.661,-0.10896,-0.68814,0.38546,-0.23671,-6.78,24.6,-9.54
4.2632,-15.718,-0.095342,-0.44013,0.46395,-0.19761,-5.46,23.58,-6.72
4.8625,-16.671,-0.28603,-0.1405,0.32223,-0.069028,-4.74,23.04,-5.76
5.2166,-17.87,-0.1362,0.16371,-0.05284,0.16463,-4.14,22.68,-4.56
4.9714,-19.423,-0.23155,0.40103,-0.20922,0.4667,-2.46,22.08,-2.82
4.7944,-16.481,-0.85808,0.52076,-0.14905,0.7141,-1.56,21.84,-2.04
3.6775,-11.319,-0.85808,0.5568,-0.10507,0.69608,0.42,21.48,-0.72
2.7513,-8.0769,-0.44947,0.4725,0.038485,0.33781,1.32,21.48,-0.3
2.3563,-6.279,-0.28603,0.45662,0.066584,0.18448,2.22,21.3,0.24
2.1656,-5.4481,-0.40861,0.58246,-0.013439,-0.16554,3.06,21.36,0.6
2.2201,-4.5083,-1.471,0.72846,-0.18112,-0.22235,4.86,21.78,1.44
2.4653,-4.413,-2.1112,0.759,-0.51221,-0.16157,5.64,21.96,1.8
1.975,-4.2359,-2.1384,0.64507,-0.80665,-0.034208,6.42,22.32,2.1
1.4438,-4.699,-1.866,0.41875,-0.79199,0.10537,8.28,22.8,2.22
1.0215,-5.094,-1.4438,0.065057,-0.52412,0.23579,9.18,23.22,2.28
0.6674,-5.4209,-0.88532,-0.51343,0.14111,0.3937,10.14,23.4,2.28
0.78998,-6.8919,-0.27241,-0.80604,0.80665,0.46762,12.06,24.0,2.28
1.2258,-7.4095,-0.12258,-1.1203,1.4978,0.49266,12.9,24.24,2.16
2.4108,-8.1995,-0.35413,-1.2947,2.0653,0.47983,14.88,24.6,2.16
3.1599,-8.5536,-0.8036,-1.3402,2.3659,0.41264,15.9,24.66,2.4
3.7047,-8.4174,-1.3757,-1.2352,2.2923,0.28436,16.86,24.96,2.34
3.8682,-9.6023,-1.6344,-0.88759,1.6634,0.13256,18.78,25.14,2.76
3.909,-11.4,-1.7706,-0.6524,1.2639,0.15485,19.62,25.14,2.88
4.3721,-13.525,-1.757,-0.48717,0.91966,0.27061,20.52,25.32,3.06
4.7944,-15.078,-2.3427,-0.22113,0.50549,0.50366,22.2,25.68,3.24
4.699,-16.699,-2.5061,0.075442,0.29963,0.61453,22.86,25.92,3.54
4.8625,-18.224,-2.9148,0.281,0.22083,0.68264,23.52,25.92,3.84
5.5299,-17.693,-4.127,0.84513,-0.25412,0.54917,24.12,26.28,4.14
4.4266,-12.721,-4.2223,1.0736,-0.80634,0.17868,24.96,26.64,4.68
3.0646,-10.42,-3.5685,1.1099,-1.2846,-0.27092,25.5,26.82,4.92
1.9341,-8.0496,-2.5742,0.96089,-1.6261,-0.59956,26.28,27.42,4.98
1.2258,-7.1234,-2.4925,0.73823,-1.7791,-0.72754,26.64,27.84,4.86
0.5993,-6.3743,-2.8603,0.52412,-1.4991,-0.48381,27.12,28.14,4.8
0.12258,-5.4073,-3.3234,0.42028,-1.2233,-0.21289,27.9,28.86,3.9
0.1362,-4.8216,-3.6775,0.35797,-0.93218,0.051618,28.26,29.22,3.3
0.21793,-4.6173,-3.4732,0.30146,-0.51557,0.28558,28.68,29.7,2.7
1.0351,-4.6309,-3.3097,0.17226,-0.073915,0.44074,29.7,30.3,1.5
1.3757,-4.7671,-3.2144,0.16524,-0.10385,0.42089,30.18,30.48,0.84
1.7025,-5.2575,-3.1872,0.13653,-0.31398,0.33781,30.6,30.72,0.18
2.0703,-5.9385,-3.2008,0.076969,-0.5736,0.17318,31.86,31.14,-1.32
2.0294,-6.2109,-3.0237,-0.0061087,-0.81184,0.0018326,32.46,31.62,-1.98
1.7025,-6.565,-2.9011,-0.072998,-0.90652,-0.13806,32.94,31.98,-2.58
1.4438,-7.0281,-2.8058,-0.16127,-0.80268,-0.22694,33.42,32.34,-3.3
1.6208,-8.1722,-2.6696,-0.32223,-0.43219,-0.19945,34.68,32.82,-3.84
1.8932,-8.4991,-2.5198,-0.40287,-0.28772,-0.18662,35.16,33.06,-4.2
2.438,-9.1937,-1.7025,-0.56505,0.11912,-0.17196,36.54,33.66,-4.74
2.9284,-10.637,-1.1169,-0.58246,0.27733,-0.14386,37.08,33.84,-4.56
3.7184,-13.28,-0.88532,-0.5565,0.30788,-0.071166,37.68,34.08,-4.5
4.522,-16.154,-1.362,-0.56108,0.24709,0.0015272,38.82,34.68,-4.08
5.094,-16.181,-1.6344,-0.34544,-0.092852,0.054367,39.36,35.16,-3.96
4.9987,-15.228,-1.2531,-0.27336,-0.26542,0.027794,39.96,35.58,-3.66
4.4402,-17.734,0.96704,-0.15852,-0.46395,-0.045815,40.38,35.94,-3.3
4.6445,-18.891,0.8036,-0.061392,-0.60812,-0.03146,41.28,36.42,-2.64
4.413,-17.666,-0.72188,0.069333,-0.78435,-0.0094684,41.76,36.54,-2.4
3.2416,-10.256,-1.9613,0.23305,-0.88484,-0.13592,42.54,36.78,-2.28
2.7786,-8.5263,-1.6481,0.23213,-0.88606,-0.41844,42.84,36.72,-2.1
2.0567,-6.7421,-0.85808,0.10843,-0.87323,-0.54123,43.08,36.72,-1.98
0.28603,-4.3313,0.28603,-0.13897,-0.6185,-0.89278,42.96,36.66,-1.92
-0.095342,-3.8137,0.14982,-0.13683,-0.3653,-0.94959,43.08,36.72,-2.04
-0.068102,-3.8682,-0.19068,-0.15944,-0.22816,-0.83566,42.84,36.6,-2.28
0.32689,-4.1814,-1.2258,-0.25779,-0.074526,-0.64446,42.06,36.6,-2.94
0.6674,-4.4675,-1.2667,-0.28527,0.17623,-0.087659,41.64,36.6,-3.18
1.2531,-5.4073,-0.99429,-0.26542,0.28405,0.12584,40.98,36.72,-3.96
1.3893,-5.6797,-0.98067,-0.32681,0.64446,0.64202,40.68,36.66,-4.32
1.4982,-5.7205,-0.81722,-0.37965,0.82681,0.7761,40.44,36.78,-4.68
1.7025,-6.7421,-0.39499,-0.42364,1.011,0.82406,40.08,36.96,-5.16
1.757,-7.4776,-0.35413,-0.42913,1.2364,0.78405,40.08,37.02,-5.16
2.0022,-8.5127,-0.83084,-0.36285,1.4655,0.7364,40.14,37.32,-5.22
3.0918,-9.8611,-1.5391,-0.146,1.5632,0.65668,40.56,37.92,-4.68
3.514,-9.7385,-2.152,0.051924,1.3137,0.60995,40.8,38.16,-4.2
3.6775,-9.8203,-2.3836,0.14203,1.1234,0.58765,40.98,38.34,-3.9
3.4459,-11.782,-2.2882,0.36316,0.51954,0.54611,41.88,39.12,-2.76
3.3506,-14.274,-2.7922,0.44624,0.14416,0.49541,42.48,39.54,-2.1
3.5413,-15.568,-3.623,0.41203,-0.11057,0.38454,43.5,40.14,-1.02
3.3234,-16.372,-3.7728,0.36988,-0.17868,0.29566,43.98,40.62,-0.42
2.9556,-15.636,-3.6503,0.25107,-0.09896,0.16218,44.4,40.98,0.18
2.7922,-15.636,-3.4868,0.24251,-0.066279,0.11912,44.64,41.28,0.72
3.0373,-16.154,-4.1814,0.29199,-0.087659,0.10324,45.0,42.12,1.56
2.9284,-13.866,-4.5356,0.26237,-0.28405,0.11057,45.0,42.54,1.8
1.9068,-8.1177,-3.7184,0.18082,-0.38515,-0.012828,45.0,42.96,2.1
1.4165,-6.1973,-3.0918,-0.072998,-0.35339,-0.084605,45.0,43.26,2.1
1.1441,-5.3119,-2.8603,-0.15149,-0.33048,-0.1182,45.12,43.5,1.8
0.61292,-4.1814,-2.3699,-0.21105,-0.17165,-0.14355,45.24,43.5,1.44
0.6674,-3.732,-2.5198,-0.19548,-0.072388,-0.067806,45.24,43.26,0.66
1.0896,-3.6775,-2.4653,-0.18082,0.0033598,0.055589,45.3,43.02,0.24
1.6753,-4.1406,-2.3972,-0.11698,0.057727,0.19028,45.36,42.84,-0.18
2.261,-4.6173,-2.1929,-0.060781,0.071777,0.26298,45.54,42.6,-0.6
2.5334,-4.9169,-2.1248,0.044593,-0.0097738,0.26023,45.78,42.12,-1.56
2.6423,-5.4754,-2.2201,0.25717,-0.45601,0.12798,46.26,41.76,-1.86
2.6968,-6.0611,-2.2065,0.35369,-0.821,-0.020159,46.98,41.22,-2.28
2.5198,-6.2517,-1.8932,0.38271,-1.1411,-0.17349,47.58,40.98,-2.64
2.1248,-6.4969,-1.8932,0.35705,-1.2956,-0.29841,48.18,40.56,-2.82
1.8796,-6.7421,-1.975,0.27519,-1.2712,-0.39431,48.6,40.56,-2.76
1.5391,-7.6274,-1.8524,0.087048,-0.94776,-0.52168,49.08,40.92,-2.88
1.4301,-9.6977,-1.4846,-0.033292,-0.59498,-0.54428,49.5,41.52,-2.82
1.8387,-12.898,-0.78998,-0.20647,-0.20036,-0.46365,50.04,42.06,-2.58
2.9556,-16.794,-0.16344,-0.45937,0.20036,-0.34483,50.46,42.9,-2.28
3.8137,-18.006,0.12258,-0.73793,0.47739,-0.20922,50.46,43.86,-1.98
4.3177,-18.02,0.040861,-0.78893,0.55711,-0.057116,50.34,44.88,-1.2
4.3449,-17.938,0.095342,-0.6915,0.56505,0.031765,50.46,45.48,-0.78
4.2359,-17.897,0.49033,-0.49114,0.50916,-0.0051924,50.4,45.9,-0.42
3.8818,-15.691,0.24517,-0.17501,0.21961,-0.14661,49.86,46.98,0.54
3.4187,-13.321,-0.43585,0.080023,-0.041233,-0.28924,49.8,47.22,0.84
2.8875,-10.719,-1.0624,0.28069,-0.24893,-0.4215,49.8,47.46,1.32
1.8796,-6.7693,-1.2803,0.3989,-0.44929,-0.55283,49.5,47.88,1.92
1.4982,-5.7614,-1.362,0.34392,-0.45815,-0.56902,49.32,48.06,2.1
1.0351,-5.1485,-1.1032,0.29688,-0.42761,-0.551,49.02,48.24,2.22
0.61292,-4.7399,-1.2531,0.019853,-0.17593,-0.32467,48.66,48.24,2.22
0.10896,-3.9227,-1.6344,-0.19151,0.045815,-0.089492,48.0,48.24,1.8
0.12258,-3.6366,-1.7025,-0.40714,0.37415,0.062003,47.82,48.24,1.86
0.34051,-4.4811,-1.2667,-0.54886,0.65088,0.27947,47.46,48.12,1.44
1.4301,-5.5026,-0.92618,-0.7028,1.0876,0.53115,47.28,48.0,1.26
1.9068,-6.8647,-0.70826,-0.77794,1.3378,0.69394,47.22,48.0,1.08
2.2337,-7.8726,-0.64016,-0.84177,1.5696,0.79077,47.22,48.12,1.08
2.5061,-8.1858,-0.85808,-0.81062,1.7807,0.73884,47.46,48.18,0.96
2.8058,-8.0905,-0.99429,-0.75045,1.8821,0.62461,47.82,48.42,1.56
2.7649,-7.75,-1.2803,-0.59956,1.7498,0.38637,48.0,48.72,2.04
3.2144,-9.1393,-1.4438,-0.5116,1.6475,0.32193,48.12,49.26,3.48
3.732,-10.91,-1.8796,-0.17593,1.1551,0.37385,48.3,49.5,4.14
4.1814,-12.108,-2.3563,0.11668,0.67409,0.56444,48.54,49.8,5.16
4.9306,-14.574,-3.7047,0.39828,0.23671,0.74953,48.84,50.58,7.02
4.7399,-15.078,-3.7728,0.63347,-0.049175,0.83475,48.9,50.88,7.74
4.127,-15.949,-2.9148,0.76114,-0.14355,0.80665,48.9,51.18,8.64
3.8001,-18.714,-3.5822,0.85552,-0.023213,0.71288,48.84,52.14,9.78
3.909,-16.453,-4.3994,0.76236,-0.030849,0.4612,48.78,52.68,10.32
3.3915,-13.089,-4.5901,0.53756,-0.31368,-0.0058032,48.84,52.92,10.5
2.1929,-8.2676,-3.3097,0.30085,-0.4441,-0.3146,48.54,53.52,10.62
1.5527,-6.1836,-2.833,0.18234,-0.56016,-0.47831,48.36,53.82,10.2
1.1032,-5.5707,-3.051,0.15791,-0.61728,-0.47983,48.3,53.88,9.84
0.70826,-5.1076,-3.2144,0.069639,-0.47373,-0.29505,48.18,54.18,8.4
0.77636,-4.6309,-3.5822,0.037263,-0.40103,-0.1967,48.24,54.3,7.56
1.2122,-4.2087,-3.4459,0.040012,-0.23671,-0.014355,48.18,54.42,6.72
1.4438,-4.0725,-3.2416,0.059254,-0.014355,0.1292,48.3,54.42,5.88
2.0703,-4.2904,-2.6423,0.087048,-0.030238,0.099876,48.66,54.6,4.02
2.1929,-4.6582,-2.5334,0.12675,-0.24679,0.01069,49.02,54.66,3.0
2.4108,-5.3664,-2.6423,0.20067,-0.62553,-0.067195,49.56,54.66,1.38
2.3836,-6.2517,-2.6423,0.16952,-1.0653,-0.20189,49.74,54.66,0.54
2.2474,-6.3471,-2.4108,0.11576,-1.1774,-0.23396,49.92,54.66,-0.18
2.0567,-6.6059,-2.3699,0.054672,-1.175,-0.23274,50.04,54.72,-1.02
1.6753,-7.4503,-2.152,-0.065057,-1.0088,-0.25229,50.4,55.2,-2.22
1.4846,-8.2131,-1.5527,-0.21808,-0.64385,-0.29352,50.58,55.62,-2.88
1.5255,-9.5751,-1.0079,-0.33139,-0.11912,-0.28802,50.64,56.1,-3.48
2.8875,-13.348,-0.31327,-0.3769,0.27825,-0.21319,50.52,56.94,-4.44
3.6775,-15.704,-0.12258,-0.3656,0.21808,-0.10965,50.4,57.48,-4.92
3.7592,-16.331,-0.28603,-0.27886,0.16799,-0.0067195,50.28,57.9,-5.28
